phone_id	total	good	neutral	bad	url
2917215	3472	3237	145	90	http://item.m.jd.com/product/2917215.html
1296490	9848	9210	367	271	http://item.m.jd.com/product/1296490.html
2712626	1731	1580	87	64	http://item.m.jd.com/product/2712626.html
1816276354	2897	2735	77	85	http://item.m.jd.com/product/1816276354.html
10065260353	1441	1343	51	47	http://item.m.jd.com/product/10065260353.html
10069410228	1441	1343	51	47	http://item.m.jd.com/product/10069410228.html
1673109942	2041	1833	99	109	http://item.m.jd.com/product/1673109942.html
3330037	2811	2614	118	79	http://item.m.jd.com/product/3330037.html
2259491	6164	5763	247	154	http://item.m.jd.com/product/2259491.html
2493326	1565	1484	39	42	http://item.m.jd.com/product/2493326.html
2969541	3162	3003	88	71	http://item.m.jd.com/product/2969541.html
2969549	3162	3003	88	71	http://item.m.jd.com/product/2969549.html
2889614	2811	2614	118	79	http://item.m.jd.com/product/2889614.html
2910505	1592	1497	54	41	http://item.m.jd.com/product/2910505.html
3304425	6164	5763	247	154	http://item.m.jd.com/product/3304425.html
2493227	760	707	35	18	http://item.m.jd.com/product/2493227.html
1710077	2223	2028	123	72	http://item.m.jd.com/product/1710077.html
2310587	2087	1966	59	62	http://item.m.jd.com/product/2310587.html
3248400	3162	3003	88	71	http://item.m.jd.com/product/3248400.html
2889576	2811	2614	118	79	http://item.m.jd.com/product/2889576.html
3248398	3162	3003	88	71	http://item.m.jd.com/product/3248398.html
3151888	1591	1496	54	41	http://item.m.jd.com/product/3151888.html
2493221	760	707	35	18	http://item.m.jd.com/product/2493221.html
3330077	2811	2614	118	79	http://item.m.jd.com/product/3330077.html
10412069591	2561	2449	44	68	http://item.m.jd.com/product/10412069591.html
10416687137	1217	1142	26	49	http://item.m.jd.com/product/10416687137.html
10399045323	694	655	15	24	http://item.m.jd.com/product/10399045323.html
10415140494	591	555	19	17	http://item.m.jd.com/product/10415140494.html
10402906439	114	107	3	4	http://item.m.jd.com/product/10402906439.html
10399684460	345	319	12	14	http://item.m.jd.com/product/10399684460.html
10466151634	207	197	6	4	http://item.m.jd.com/product/10466151634.html
10528721771	88	84	1	3	http://item.m.jd.com/product/10528721771.html
10499411328	79	79	0	0	http://item.m.jd.com/product/10499411328.html
10395217332	36	31	1	4	http://item.m.jd.com/product/10395217332.html
10426625323	65	58	1	6	http://item.m.jd.com/product/10426625323.html
3944102	8521	7867	364	290	http://item.m.jd.com/product/3944102.html
3499302	9915	9634	155	126	http://item.m.jd.com/product/3499302.html
3352196	8396	7798	290	308	http://item.m.jd.com/product/3352196.html
3352198	25734	24381	813	540	http://item.m.jd.com/product/3352198.html
1869067	14977	14148	462	367	http://item.m.jd.com/product/1869067.html
3650544	9915	9634	155	126	http://item.m.jd.com/product/3650544.html
2223741	1009	941	38	30	http://item.m.jd.com/product/2223741.html
2140249	13501	12828	384	289	http://item.m.jd.com/product/2140249.html
2028159	3455	3227	122	106	http://item.m.jd.com/product/2028159.html
